Epoch,Train CE,Valid CE,Train Percent,Valid Percent
0,53.6152,48.2161,73.191666089997582,77.371666176650976
1,49.8043,46.0857,76.108112395197239,78.645605140118349
2,48.3778,44.6089,77.079297983107708,79.490126382563218
3,47.2024,43.3182,77.797333155467527,80.255674386189227
4,46.2106,42.1519,78.465043376580752,80.963966594632026
5,45.2356,41.0761,79.049761240875966,81.545901451506239
6,44.3709,40.0187,79.600929077234781,82.146592669166907
7,43.5174,38.9944,80.08981269390857,82.682624409252895
8,42.6279,38.0008,80.607671320596253,83.264065739079967
9,41.8431,37.0343,81.082749747093288,83.818853828184459
10,41.0758,36.1186,81.528050291546847,84.417077042861138
11,40.365,35.2531,81.916283717248461,84.790719961719944
12,39.6777,34.436,82.273856625624688,85.250739784137167
13,39.1028,33.7313,82.596836074587529,85.60513276514861
14,38.5299,33.0301,82.893168133519723,85.947186416722943
15,37.9965,32.4313,83.13781062589716,86.26653510573351
16,37.5983,31.8744,83.355645225790354,86.562191651580605
17,37.1014,31.3591,83.601571944468148,86.816880798292772
18,36.7206,30.8794,83.824141920258739,87.071076332640203
19,36.3362,30.4519,83.992614637208476,87.263080571858097
20,36.0339,30.0107,84.135964870433739,87.441757815611439
21,35.6855,29.6662,84.309815153454466,87.666338267354604
22,35.4118,29.3433,84.451399647277697,87.79467023607539
23,35.1171,28.9997,84.618748616938774,87.94274531959428
24,34.8811,28.7195,84.712255363221715,88.028628696105557
25,34.6566,28.3878,84.827112124890306,88.257651473786254
26,34.4049,28.1391,84.962837395062181,88.351432362760747
27,34.1881,27.8827,85.045187538264699,88.465943964895118
28,33.9944,27.6133,85.154746987959555,88.585884835265816
29,33.7696,27.3954,85.229391772403162,88.702864157953485
